날짜,시그니처,설명,클래스,위험도,프로토콜,출발 IP,출발 포트,도착 IP,도착 포트
2026-06-03 11:40:06.271391,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,80.94.92.10,52669,192.168.45.3,5432
2026-06-03 11:44:09.721117,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,177.128.7.161,52312,192.168.45.3,1433
2026-06-03 11:44:09.721154,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,177.128.7.161,52312,192.168.45.3,1433
2026-06-03 11:49:41.184597,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,80.94.92.10,52685,192.168.45.3,3306
2026-06-03 12:15:01.713058,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,80.94.92.10,52685,192.168.45.3,1433
2026-06-03 12:16:14.663434,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,Potentially Bad Traffic,2,TCP,80.94.92.10,52685,192.168.45.3,1521
2026-06-03 12:45:36.573421,2500010,ET COMPROMISED Known Compromised or Hostile Host Traffic group 6,Misc Attack,2,TCP,185.227.153.56,51864,192.168.45.3,35746
2026-06-03 13:34:47.191841,2011716,ET SCAN Sipvicious User-Agent Detected (friendly-scanner),Attempted Information Leak,2,UDP,110.10.176.51,28143,192.168.45.3,5060
2026-06-03 13:59:44.041864,2500000,ET COMPROMISED Known Compromised or Hostile Host Traffic group 1,Misc Attack,2,TCP,109.122.217.21,59479,192.168.45.3,52815
2026-06-03 14:08:25.378493,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,81.19.219.232,19762,192.168.45.3,3306
2026-06-03 14:17:40.225325,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,213.166.84.58,49535,192.168.45.3,1433
2026-06-03 14:53:17.735806,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,122.116.63.54,45996,192.168.45.3,1433
2026-06-03 14:57:50.132687,2500000,ET COMPROMISED Known Compromised or Hostile Host Traffic group 1,Misc Attack,2,TCP,109.122.217.21,45381,192.168.45.3,53011
2026-06-03 15:29:48.252180,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,221.226.7.130,65042,192.168.45.3,1433
2026-06-03 15:31:35.279214,2210058,SURICATA STREAM suspected RST injection,Generic Protocol Command Decode,3,TCP,192.168.45.3,25565,211.243.114.93,49224
2026-06-03 15:48:12.546573,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,124.43.242.85,64770,192.168.45.3,1433
2026-06-03 15:48:15.556561,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,124.43.242.85,64770,192.168.45.3,1433
